gene_name	number_of_transposon_per_gene	number_of_read_pergene
SEC18 	74 	993 	
SPT7 	199 	4686 	
UBC4 	0 	0 	
TEC1 	29 	225 	
MIS1 	138 	5388 	
RPL19A 	73 	2244 	
AAC3 	68 	4266 	
YBR085C-A 	5 	17 	
IST2 	245 	8467 	
RFC5 	209 	4993 	
POL30 	71 	2369 	
YBR089W 	45 	1006 	
NHP6B 	99 	4786 	
YBR090C 	99 	4312 	
TIM12 	35 	685 	
PHO3 	210 	5940 	
PHO5 	31 	620 	
PBY1 	479 	25732 	
RXT2 	53 	1296 	
YBR096W 	49 	1139 	
VPS15 	391 	14228 	
MMS4 	127 	2701 	
YBR099C 	17 	260 	
FES1 	19 	218 	
EXO84 	152 	6448 	
SIF2 	121 	2895 	
YBR103C-A 	7 	47 	
YMC2 	105 	2959 	
VID24 	212 	5695 	
PHO88 	89 	957 	
IML3 	159 	1367 	
AIM3 	375 	8025 	
CMD1 	7 	83 	
YBR109W-A 	6 	37 	
ALG1 	0 	0 	
YSA1 	10 	185 	
SUS1 	5 	23 	
CYC8 	81 	1399 	
YBR113W 	69 	1855 	
RAD16 	703 	42942 	
LYS2 	594 	21185 	
YBR116C 	63 	1745 	
TKL2 	162 	7017 	
TEF2 	167 	6010 	
MUD1 	173 	10027 	
CBP6 	37 	806 	
GRS1 	289 	10730 	
YBR121C-A 	10 	69 	
MRPL36 	78 	2716 	
TFC1 	680 	112525 	
YBR124W 	43 	1187 	
PTC4 	76 	2176 	
TPS1 	202 	1621 	
YBR126W-A 	86 	614 	
YBR126W-B 	41 	216 	
VMA2 	298 	1576 	
ATG14 	116 	1186 	
OPY1 	92 	454 	
SHE3 	152 	3933 	
CCZ1 	154 	2620 	
YBR131C-A 	39 	510 	
AGP2 	245 	7534 	
HSL7 	71 	2028 	
YBR134W 	52 	659 	
CKS1 	2 	3 	
MEC1 	835 	158981 	
YBR137W 	30 	388 	
YBR138C 	101 	2420 	
YBR139W 	40 	1116 	
IRA1 	522 	10484 	
BMT2 	17 	114 	
YBR141W-A 	0 	0 	
MAK5 	98 	2874 	
SUP45 	78 	1655 	
YBR144C 	11 	146 	
ADH5 	90 	1654 	
MRPS9 	46 	1090 	
RTC2 	68 	1627 	
YSW1 	101 	1732 	
