Gene_name	Essentiality	Sum_reads_truncated	Reads_10%_truncated																																																																																																																																																																																																																																																											
YGL007C-A	0	7	7																																																																																																																																																																																																																																																											
BRP1	0	100	23	56	17	1	3	2	6	125	5	4	54	32	1	3	4	1																																																																																																																																																																																																																																												
YGL006W-A	0	55	3	41	1	9	1	1	333	12	13	1	3	3	1	27	27	7	2																																																																																																																																																																																																																																											
PMC1	0	20	1	1	1	6	11	1	9	1	23	3	35	6	24	2	62	19	1	2	2	40	44	114	44	1	3	84	71	1	18	9	1	89	1	31	18	13	32	75	1	17	1	2	1	1	39	1	27	6	1	6	3	12	1	9	1	61	8	1	84	38	3	87	1	1	1	2	1	127	39	20	6	116																																																																																																																																																																																				
COG7	0	315	13	67	122	112	1	15	4	1	8	9	1	6	2	157	9	111	32	84	126	25	1	2	1	2	2	2	1	198																																																																																																																																																																																																																																
RPN14	0	122	2	50	1	1	68	4	2	3	6	1	7	7	1	1	4	7	176	143	1	11	12	1	1	1	1																																																																																																																																																																																																																																			
CDH1	0	99	48	1	8	1	41	1	44	70	77	39	69	13	1	1	4	44	74	2	2	6	5	1	1	22	21	1	2	10	48	2	104	1	30	246	29	3	12	57	117	117																																																																																																																																																																																																																				
ERP6	0	484	74	48	207	55	100	73	10	31	1	16	2	63	77	74	43	11	14	47	13	28	83	7	2	1	4	5	8	199	1	132	312	4	13	35	50	4	3	3	1	12	22	7	193	1																																																																																																																																																																																																																
ERG26	1	0																																																																																																																																																																																																																																																												
EFM5	0	93	30	5	41	16	1	2	44	10	71	26	26	13	81	7	12	1	1	2	27	50	1	63	16	32	8	8	18	4	16	101	1	6	1	1	4	7	150	31	12	4	22	1	9	1	19	4	1	1	1	9	3	1	1	3	36	1	80	17	47	2	49	88	4	143	87	2	20	59	5	23	14	47	1	12																																																																																																																																																																																		
SWC4	1	307	1	48	1	23	234	1	1	17	19	5	5	2	3	121	166	2	41	91	306	18	19	2	1	1	2	28	2	5	16	7	3	1	1	2	12																																																																																																																																																																																																																									
CUL3	0	660	1	8	23	627	1	139	143	3	30	136	1	76	1	5	70	75	4	24	15	1	22	115	4	10	79	42	2	7	29	1	17	23	10	1	23	200	1	29	31	16	6	10	44	26	1	1	1	58	1	6	83	1	57	1	11	1	6	13	1	16	6	2	1	1	1	24	17	4	1	4	1	1	1	1	1																																																																																																																																																																																	
PEX31	0	25	1	1	1	1	21	48	69	35	4	7	4	15	14	8	4	5	5	3	3	67	12	2	12	67	7	1	1	1	1	290	1	3	1	2	2	1	47	2	2	130	130	1	1	10	1	1																																																																																																																																																																																																														
TFG2	1	5	5																																																																																																																																																																																																																																																											
PRP18	0	4	1	2	1																																																																																																																																																																																																																																																									
ECT1	0	661	256	14	171	2	218	218	1	685	1	58	78	2	24	5	11	34	2	2	114	19	49	1	22	3	1	10	1	35	1	7	13	43	1	10	9	18	23	66	69	4	38	56	14	20	1	15																																																																																																																																																																																																														
STF2	0	38	1	9	1	26	1	1	40	7	3	46	19																																																																																																																																																																																																																																																	
SEC9	1	41	2	16	3	2	18																																																																																																																																																																																																																																																							
NMA2	0	144	4	2	4	100	34	30	288	52	6	6	41	1	18	28	137	9	165	77	2	37	8	204	57	37	11	5	66	6	5	8	5	5	66	6																																																																																																																																																																																																																										
YGR011W	0	83	5	5	66	6	1	10	3																																																																																																																																																																																																																																																					
YGR012W	0	134	1	55	3	26	49	3	69	1	1	1	6	62	153	61	5	8	44	3	1	1	25	43	1	1	1	6	3	22	90	4	12	60																																																																																																																																																																																																																												
SNU71	1	149	32	27	43	1	46	62	2	1	18	83	4	1	2	10	12																																																																																																																																																																																																																																													
MSB2	0	44	8	7	26	1	2	2	2	1	7	4	4	2	6	8	61	5	14	2	16	1	12	32	1	12	1	7	1	115	29	1	103	7	6	8	17																																																																																																																																																																																																																									
EAT1	0	186	3	46	1	1	135	1	106	1	32	70	10	8	2	21	1	26	58	1	28	113																																																																																																																																																																																																																																								
YGR016W	0	15	1	2	6	1	5																																																																																																																																																																																																																																																							
YGR017W	0	302	35	2	7	77	181	7	77	22	14	24	2	1	15	23	3	1	40	36	58	35																																																																																																																																																																																																																																								
YGR018C	0	138	3	1	40	36	58	35	33	71	98	5	20																																																																																																																																																																																																																																																	
UGA1	0	94	11	75	1	6	1	1	8	30	4	57	3	17	2																																																																																																																																																																																																																																															
VMA7	0	0																																																																																																																																																																																																																																																												
YGR021W	0	6	1	1	1	2	1	3	1																																																																																																																																																																																																																																																					
YGR022C	0	346	109	117	6	114																																																																																																																																																																																																																																																								
MTL1	0	180	6	114	20	2	38	1	6	2	2	1	4	5	7	5	1	6	1	3	8	1	11	1	1	8	1	11	3	21	2	7	1	85	80	53	7	12	21	19	8	1	31	22	106	6	101	29	41	174	23	35	48	22	1	6	12	33																																																																																																																																																																																																				
THG1	1	0																																																																																																																																																																																																																																																												
YGR025W	0	438	4	17	143	238	36	1	78	2	1	4	3	2																																																																																																																																																																																																																																																
YGR026W	0	64	24	24	5	8	3	2	88	23	15																																																																																																																																																																																																																																																			
RPS25A	0	4	4																																																																																																																																																																																																																																																											
MSP1	0	180	1	61	109	6	3	36	141	1	39	34	11																																																																																																																																																																																																																																																	
ERV1	1	0																																																																																																																																																																																																																																																												
POP6	1	0																																																																																																																																																																																																																																																												
IMO32	0	58	34	21	1	1	1	2	23	1	31	21	21	23	69	203	277	1	14	1	2	83	83	21	17	47	61	71	1	5	54	4	1	1	3	175	4	139	1	201	4	105	160	1	1	1	26	10	308	89	3	16	7	45																																																																																																																																																																																																								
NAG1	0	165	31	21	21	23	69	203	277	1	14	1	2	83	83	21	17	47	61	71	1	5	54	4	1	1	3	175	4	139	1	201	4	105	160																																																																																																																																																																																																																											
GSC2	0	279	230	3	1	12	33	3	17	49	65	16	3	87	1	2	10	20	2	116	2	21	10	2	30	2	54	2	11	6	75	53	1	3	1	5	1																																																																																																																																																																																																																									
TIM21	0	9	4	1	1	2	1	1	195	11	4	11	38	2																																																																																																																																																																																																																																																
RPL26B	0	6	1	1	2	1	1	1	4	2	4																																																																																																																																																																																																																																																			
YGR035C	0	0																																																																																																																																																																																																																																																												
YGR035W-A	0	68	1	56	2	3	6																																																																																																																																																																																																																																																							
CAX4	0	13	9	4																																																																																																																																																																																																																																																										
ACB1	0	5	5																																																																																																																																																																																																																																																											
ORM1	0	7	1	6																																																																																																																																																																																																																																																										
YGR039W	0	43	2	27	1	8	5	8	1	1	1	95	2																																																																																																																																																																																																																																																	
KSS1	0	129	127	2																																																																																																																																																																																																																																																										
BUD9	0	49	2	1	15	15	16	6	2	13	1	42	51	5	3	1	1	78	14	25	1	39	2	33																																																																																																																																																																																																																																						
YGR042W	0	399	7	3	360	1	28	2	3	16																																																																																																																																																																																																																																																				
NQM1	0	151	58	1	4	8	80	74	2	1	52																																																																																																																																																																																																																																																			
RME1	0	61	4	2	55																																																																																																																																																																																																																																																									
YGR045C	0	11	3	1	1	4	2	12	23	1	50	4	4	30	8	2	28	17	17	11	1	4	25																																																																																																																																																																																																																																							
TAM41	1	58	18	9	23	8																																																																																																																																																																																																																																																								
TFC4	1	34	34																																																																																																																																																																																																																																																											
UFD1	1	1	1																																																																																																																																																																																																																																																											
SCM4	0	39	3	5	5	1	25	2	74	5	2	11																																																																																																																																																																																																																																																		
YGR050C	0	23	1	6	1	13	2	46	8	4	3	3	51	9	2	118	10	1	1	264	1	125	11	71	1																																																																																																																																																																																																																																					
YGR051C	0	55	11	1	7	33	3	1	1																																																																																																																																																																																																																																																					
FMP48	0	2	1	1																																																																																																																																																																																																																																																										
YGR053C	0	123	6	2	6	105	4	106	139																																																																																																																																																																																																																																																					
YGR054W	0	28	4	10	1	11	2	11	4	1																																																																																																																																																																																																																																																				
MUP1	0	30	4	2	17	2	5																																																																																																																																																																																																																																																							
RSC1	0	51	15	4	1	1	30	5	3																																																																																																																																																																																																																																																					
LST7	0	133	116	13	4																																																																																																																																																																																																																																																									
PEF1	0	86	51	9	9	15	2	4																																																																																																																																																																																																																																																						
SPR3	0	20	6	4	1	4	5																																																																																																																																																																																																																																																							
ERG25	1	0																																																																																																																																																																																																																																																												
ADE6	0	0																																																																																																																																																																																																																																																												
COX18	0	46	39	1	1	1	4	15	1																																																																																																																																																																																																																																																					
SPT4	0	0																																																																																																																																																																																																																																																												
YGR064W	0	5	1	1	1	1	1																																																																																																																																																																																																																																																							
VHT1	1	0																																																																																																																																																																																																																																																												
YGR066C	0	121	2	4	81	23	11	210	23	57	3																																																																																																																																																																																																																																																			
YGR067C	0	26	1	1	5	1	18	2	1	9																																																																																																																																																																																																																																																				
ART5	0	542	194	95	5	175	73	86	16	2	151	101	39	37	35	2	56	6	17	8	2	154	28	1	3	58	40	6	301	172	1	66	28	1	123	205	3	1	58	4	2	21	31	9	36	1	17	1																																																																																																																																																																																																														
YGR068W-A	0	0																																																																																																																																																																																																																																																												
YGR069W	0	228	8	16	128	73	3	1	1	1	1																																																																																																																																																																																																																																																			
ROM1	0	35	4	1	19	1	10	1	1	54	14																																																																																																																																																																																																																																																			
ENV11	0	230	35	1	8	40	146	16																																																																																																																																																																																																																																																						
UPF3	0	24	1	20	1	1	1	1																																																																																																																																																																																																																																																						
YGR073C	1	0																																																																																																																																																																																																																																																												
SMD1	1	1	1																																																																																																																																																																																																																																																											
PRP38	1	0																																																																																																																																																																																																																																																												
MRPL25	0	234	23	176	35																																																																																																																																																																																																																																																									
PEX8	0	55	17	2	33	2	1	3	30	11																																																																																																																																																																																																																																																				
PAC10	0	21	3	8	10																																																																																																																																																																																																																																																									
YGR079W	0	370	15	56	8	5	286	1	7																																																																																																																																																																																																																																																					
TWF1	0	0																																																																																																																																																																																																																																																												
SLX9	0	9	9																																																																																																																																																																																																																																																											
TOM20	1	68	1	67																																																																																																																																																																																																																																																										
GCD2	1	0																																																																																																																																																																																																																																																												
MRP13	0	229	4	43	169	13																																																																																																																																																																																																																																																								
RPL11B	0	5	5																																																																																																																																																																																																																																																											
PIL1	0	17	16	1																																																																																																																																																																																																																																																										
PDC6	0	129	57	8	4	58	2	4																																																																																																																																																																																																																																																						
CTT1	0	80	4	63	6	5	2																																																																																																																																																																																																																																																							
NNF2	0	141	22	95	12	5	7	1	46	85	10	1	36	8	326	1	169	23	1	1	2	39	9	129																																																																																																																																																																																																																																						
UTP22	1	2	2																																																																																																																																																																																																																																																											
PRP31	1	2	2																																																																																																																																																																																																																																																											
DBF2	0	1	1																																																																																																																																																																																																																																																											
DRN1	0	12	3	1	1	3	4	12	2	41	16	15																																																																																																																																																																																																																																																		
VAS1	1	0																																																																																																																																																																																																																																																												
RRP46	1	0																																																																																																																																																																																																																																																												
TPC1	0	92	1	9	47	34	1	15	22	1	2	1	5	1	17																																																																																																																																																																																																																																															
ASK10	0	123	93	1	3	21	5	5	5																																																																																																																																																																																																																																																					
ESP1	1	0																																																																																																																																																																																																																																																												
TEL2	1	2	2																																																																																																																																																																																																																																																											
MDR1	0	163	120	37	4	1	1																																																																																																																																																																																																																																																							
PCP1	0	4	4																																																																																																																																																																																																																																																											
GTF1	0	16	2	8	1	5																																																																																																																																																																																																																																																								
NOP7	1	0																																																																																																																																																																																																																																																												
SRB5	0	0																																																																																																																																																																																																																																																												
VMA21	0	0																																																																																																																																																																																																																																																												
VOA1	0	86	20	1	64	1																																																																																																																																																																																																																																																								
YGR107W	0	41	12	8	2	7	12	3	1	51	55	706	9	23																																																																																																																																																																																																																																																
CLB1	0	31	1	5	16	5	4	43	1	3	2																																																																																																																																																																																																																																																			
CLB6	0	66	55	7	3	1																																																																																																																																																																																																																																																								
CLD1	0	2	2																																																																																																																																																																																																																																																											
YGR111W	0	139	2	6	33	97	1	5	50	1																																																																																																																																																																																																																																																				
SHY1	0	107	102	5																																																																																																																																																																																																																																																										
DAM1	1	1	1																																																																																																																																																																																																																																																											
YGR114C	1	0																																																																																																																																																																																																																																																												
YGR115C	1	0																																																																																																																																																																																																																																																												
SPT6	1	1	1																																																																																																																																																																																																																																																											
YGR117C	0	214	37	1	119	56	1	23																																																																																																																																																																																																																																																						
RPS23A	0	6	2	4																																																																																																																																																																																																																																																										
NUP57	1	0																																																																																																																																																																																																																																																												
COG2	1	0																																																																																																																																																																																																																																																												
MEP1	0	103	30	18	3	13	39	6	6	9	8	19	11																																																																																																																																																																																																																																																	
YGR121W-A	0	92	1	5	80	4	2	93	7																																																																																																																																																																																																																																																					
YGR122W	0	163	2	1	13	147																																																																																																																																																																																																																																																								
YGR122C-A	0	49	30	4	15																																																																																																																																																																																																																																																									
PPT1	0	6	1	5																																																																																																																																																																																																																																																										
ASN2	0	157	48	1	60	34	14	37	1	90	5																																																																																																																																																																																																																																																			
YGR125W	0	57	10	35	7	2	3	51	16	7	1	7																																																																																																																																																																																																																																																		
YGR126W	0	127	1	64	60	1	1																																																																																																																																																																																																																																																							
YGR127W	0	114	68	1	14	15	16	41																																																																																																																																																																																																																																																						
UTP8	1	0																																																																																																																																																																																																																																																												
SYF2	0	55	51	4																																																																																																																																																																																																																																																										
YGR130C	0	58	12	5	12	2	27	11	2	9	5																																																																																																																																																																																																																																																			
FHN1	0	33	32	1																																																																																																																																																																																																																																																										
PHB1	0	20	1	5	14																																																																																																																																																																																																																																																									
PEX4	0	51	51																																																																																																																																																																																																																																																											
CAF130	0	26	16	1	1	1	7	5	1	43	1	24	38	136	21	128																																																																																																																																																																																																																																														
PRE9	0	6	1	1	4																																																																																																																																																																																																																																																									
LSB1	0	43	43																																																																																																																																																																																																																																																											
YGR137W	0	44	43	1																																																																																																																																																																																																																																																										
TPO2	0	37	1	27	9																																																																																																																																																																																																																																																									
YGR139W	0	13	13																																																																																																																																																																																																																																																											
CBF2	1	0																																																																																																																																																																																																																																																												
VPS62	0	24	1	2	21																																																																																																																																																																																																																																																									
BTN2	0	101	85	1	5	1	9																																																																																																																																																																																																																																																							
SKN1	0	251	46	7	2	183	13	2																																																																																																																																																																																																																																																						
THI4	0	136	60	17	59																																																																																																																																																																																																																																																									
ENP2	1	0																																																																																																																																																																																																																																																												
ECL1	0	50	2	46	2																																																																																																																																																																																																																																																									
YGR146C-A	0	117	22	2	3	90																																																																																																																																																																																																																																																								
NAT2	1	245	4	51	1	1	188	68																																																																																																																																																																																																																																																						
RPL24B	0	71	71																																																																																																																																																																																																																																																											
